time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,0.0482457289155595,-0.03485043843571399,1.7297485406420718,6.262045063902551,6.241899031951251,0.0,0.1884315626575955,-0.11457393918428205,3.1262356193858443,-0.050702940423682424,-0.017211676706073473,0.0,488.9518173897098,491.82097041203957,489.9813679297973,489.6495629587121
1.2600000000000007,0.06034845925562658,-0.04214174582369376,1.9188623959064726,6.25891361021921,6.240691063906624,0.0,0.21509166355711545,-0.12875877833337315,3.177403272075059,-0.055345234084155544,-0.026729358309976033,0.0,431.020768758787,430.21562961599864,431.41094134040503,431.01690977739383
1.3200000000000007,0.07415649316229785,-0.050392097178867355,2.112925401872319,6.255433003340626,6.238912540643264,0.0,0.24533661490612982,-0.1465976723233861,3.291021122338052,-0.06395519822320966,-0.036216386499740016,0.0,451.42847307374984,450.6620043147035,451.37761499192334,450.6799226818284
1.3800000000000008,0.08978859782525599,-0.059767516997447964,2.3131295229715896,6.252543017981349,6.236791997560255,0.0,0.2759366975888924,-0.16623595209411096,3.382158310592796,-0.027607465308020336,-0.03364966197823215,0.0,444.8559210646145,445.0655101504549,443.05822547473315,446.03486111974127
1.4400000000000008,0.10732014781374392,-0.07038725032112747,2.519245726478744,6.250739188954441,6.2343483202615,0.0,0.3086551393722777,-0.1879224845636379,3.488040803250368,-0.035493895046685126,-0.061208187536506,0.0,451.4822251867394,449.25210603657956,449.8989962841533,449.259694760101
1.5000000000000009,0.12683978826701361,-0.08232626064183216,2.731061722041286,6.248407295859797,6.230722890241122,0.0,0.34234897459612285,-0.21025665461113272,3.572197817490419,-0.046640313491718245,-0.058900202041724956,0.0,444.10307851389854,444.28976239432626,444.085835482264,443.1697690631419
1.560000000000001,0.14858768417480273,-0.09574375518365469,2.950446760749028,6.2457580926687015,6.22669917099093,0.0,0.3829631501119015,-0.23727802614528726,3.740056998356341,-0.03959461269710303,-0.09314733369006548,0.0,469.7068518236632,467.0396583340265,471.6510748061302,472.1939458771505
1.620000000000001,0.17266738496903355,-0.11070553589882849,3.1763344233366615,6.2438405686249325,6.220780036571156,0.0,0.4202234356397808,-0.26164044069211473,3.7893160796016563,-0.019916528982657333,-0.11290439557351477,0.0,436.0327540649622,434.3701268438243,433.34642326817976,434.99702847373885
1.680000000000001,0.19911423490941305,-0.12717078781317023,3.405390507678171,6.2423750723091604,6.213701886433226,0.0,0.46198385588733887,-0.2873174594730146,3.845633729600384,-0.035451534163128684,-0.13073731911860093,0.0,437.58061198566423,436.08044471600954,438.6746037575385,437.3824813979489
1.740000000000001,0.2281538394476433,-0.14517749174986472,3.637071271256639,6.240070829046244,6.206437380719725,0.0,0.5066827174312112,-0.31310229888656527,3.876874110693875,-0.0450800356293448,-0.10661559842112309,0.0,428.02487181123087,430.0587531178699,431.1472579334918,430.332140366491
